competitor,citedInPrompts,averageRank,mentioned,mentionRate
Scoot,8,3.6666666666666665,4,0.3076923076923077
Vietnam Airlines,9,3.8333333333333335,3,0.23076923076923078
Skyscanner,8,4.142857142857143,2,0.15384615384615385
Expedia,2,3,2,0.15384615384615385
Traveloka,9,3.2,1,0.07692307692307693
Google,4,3.5714285714285716,1,0.07692307692307693
KAYAK,3,3,1,0.07692307692307693
Flights From,2,2,1,0.07692307692307693
Trip.com,1,3,1,0.07692307692307693
skyscanner.com.sg,8,4.285714285714286,0,0
Flyscoot,8,3.3333333333333335,0,0
www.skyscanner.com.sg,8,4,0,0
KAYAK.sg,3,6,0,0
Trip.com Singapore,2,4.666666666666667,0,0
skyscanner.co.in,1,1,0,0
omio.sg,1,4,0,0
skyscanner.com.au,1,1,0,0
skyscanner.ie,1,5,0,0
cheapflights.com.sg,1,3,0,0
"Cheap Flights SG, The Cheapest Flights, Air Tickets & Airfares",1,5,0,0
Vietnam Discovery Tours,1,9,0,0
