keyword,hasAIOverview,totalCitations,brandRank,aiOverviewCitations
dalat to singapore,NO,0,,[]
da nang to ho chi minh flight,NO,0,,[]
flight from da nang to hanoi,NO,0,,[]
da nang to singapore flight time,NO,0,,[]
flight from da nang to singapore,NO,0,,[]
flight ho chi minh to da lat,NO,0,,[]
sg to hanoi cheap flight,NO,0,,[]
flight ho chi minh to hanoi,NO,0,,[]
flight from ho chi minh to singapore,NO,0,,[]
hcmc to sg,NO,0,,[]
hcmc to singapore,NO,0,,[]
flight from hcm to singapore,NO,0,,[]
flight ho chi minh to singapore,NO,0,,[]
flights from hcm to singapore,NO,0,,[]
ho chi minh to singapore flight,NO,0,,[]
flight time from ho chi minh to singapore,NO,0,,[]
ho chi minh to singapore flight time,NO,0,,[]
sg to hcm flight,NO,0,,[]
hcm to singapore flight,NO,0,,[]
hcm to singapore flight time,NO,0,,[]
hcmc to singapore flights,NO,0,,[]
flight hcm to singapore,NO,0,,[]
hanoi flight to da nang,NO,0,,[]
hanoi to sg flights,NO,0,,[]
hanoi to singapore flight time,YES,6,4,"[{""rank"":1,""domain"":""www.skyscanner.co.in""},{""rank"":2,""domain"":""www.skyscanner.net""},{""rank"":3,""domain"":""www.skyscanner.com.sg""},{""rank"":4,""domain"":""www.vietnamairlines.com""},{""rank"":5,""domain"":""www.vietnamairlines.com""},{""rank"":6,""domain"":""www.traveloka.com""}]"
hanoi to singapore,NO,0,,[]
hanoi to singapore flight,NO,0,,[]
flights hanoi to singapore,NO,0,,[]
flight hanoi to singapore,NO,0,,[]
hanoi flight to singapore,NO,0,,[]
hanoi to singapore flights,NO,0,,[]
flight time hanoi to singapore,NO,0,,[]
singapore to dalat direct flight,NO,0,,[]
singapore to dalat vietnam,NO,0,,[]
flight to dalat from singapore,NO,0,,[]
flights from singapore to da lat,NO,0,,[]
singapore to da lat,NO,0,,[]
singapore to da lat direct flight,NO,0,,[]
flight to danang vietnam from singapore,NO,0,,[]
flight from singapore to da nang vietnam,NO,0,,[]
flight to da nang from singapore,NO,0,,[]
singapore flight to da nang,NO,0,,[]
singapore to da nang flight time,NO,0,,[]
flight from singapore to da nang,NO,0,,[]
singapore to da nang,NO,0,,[]
singapore to danang,NO,0,,[]
singapore to danang flight,NO,0,,[]
singapore to ho chi minh city flights,NO,0,,[]
flight from singapore to ho chi minh,NO,0,,[]
flights to ho chi minh city from singapore,NO,0,,[]
singapore to ho chi minh flight time,NO,0,,[]
singapore to hcm,NO,0,,[]
singapore to hcmc,NO,0,,[]
flight singapore to hcmc,NO,0,,[]
flight to ho chi minh city from singapore,NO,0,,[]
flight to ho chi minh from singapore,NO,0,,[]
singapore to hcmc flight,NO,0,,[]
singapore to hcmc flights,NO,0,,[]
singapore to ho chi minh flight,NO,0,,[]
sg to ho chi minh flight time,NO,0,,[]
singapore to ho chi minh city flight time,NO,0,,[]
singapore to ho chi minh flight duration,NO,0,,[]
singapore to hcm flight,NO,0,,[]
singapore to ho chi minh cheap flights,NO,0,,[]
singapore to ho chi minh city,NO,0,,[]
flight to hcmc from singapore,NO,0,,[]
sg to hcmc flight time,NO,0,,[]
singapore to hcmc flight time,NO,0,,[]
flight to hcm from singapore,NO,0,,[]
singapore to hcm flight time,NO,0,,[]
from singapore to ho chi minh,NO,0,,[]
singapore to ho chi minh flight price,NO,0,,[]
singapore to ho chi minh time,NO,0,,[]
flight singapore to hcm,NO,0,,[]
singapore to ho chi minh,NO,0,,[]
flight from singapore to hanoi,NO,0,,[]
flights singapore to hanoi vietnam,NO,0,,[]
singapore to hanoi flight,NO,0,,[]
flight singapore to hanoi,NO,0,,[]
singapore hanoi flight,NO,0,,[]
singapore to hanoi,NO,0,,[]
singapore to hanoi direct flight,NO,0,,[]
flight from singapore to hanoi vietnam,NO,0,,[]
singapore to hanoi flight price,NO,0,,[]
flights from singapore to hanoi,NO,0,,[]
flights to hanoi from singapore,NO,0,,[]
singapore flights to hanoi,NO,0,,[]
singapore to hanoi distance,NO,0,,[]
singapore to hanoi flight distance,YES,4,1,"[{""rank"":1,""domain"":""www.vietnamairlines.com""},{""rank"":2,""domain"":""www.flightsfrom.com""},{""rank"":3,""domain"":""www.trip.com""},{""rank"":4,""domain"":""www.omio.sg""}]"
flight time singapore to hanoi vietnam,NO,0,,[]
singapore to hanoi flight time,NO,0,,[]
flight duration from singapore to hanoi,NO,0,,[]
flight time from singapore to hanoi vietnam,NO,0,,[]
how long flight from singapore to hanoi,NO,0,,[]
how long is the flight from singapore to hanoi,NO,0,,[]
air ticket from singapore to hanoi,NO,0,,[]
airlines from singapore to hanoi,NO,0,,[]
flight to hanoi from singapore,NO,0,,[]
flights from singapore to hanoi vietnam,NO,0,,[]
fly singapore to hanoi,NO,0,,[]
singapore flight to hanoi,NO,0,,[]
singapore to hanoi air ticket,NO,0,,[]
